1;ha1650pa;Hammond 1650PA - Easy Wire;
1;ha373bx;Hammond 373BX;
1;ha1431-26bk3;Bottom 1431-26 black;
1;ha1441-28bk3;Chassis 1441-28 black;
1;ha1451-26bk3;Cover 1451-26 black;
1;tt-ck10;TT-CK10 Choke 10 H;
5;sk21;Socket Octal Belton, Chassis VT8;
1;sk22;Socket Noval Belton, Chassis VT9-ST-2;
1;tbez-048;Tube-Town EZ-Board Standard without Turrets, blue;
3;tur-tt42-25;Turret Tube-Town Type 42 - 25 pcs Pack;
1;bu65;Power Jack w/ fuseholder, Panel-Mount;
16;ttca-flst25;Flat Cable-Plug, Cable Shoe 1 - 2,5 mm², tin-plated;
5;apo16-1mlog;Alpha Potentiometer 1 MOhm log / 16 mm;
1;apo16-A1M-PP;Alpha Potentiometer 1 MOhm log / 16 mm / DPDT Push-Pull;
1;apo16S-A1M;Alpha Potentiometer Dual / Stereo 1 MOhm log / 16 mm;
1;apm-644H/2;Toggle Switch APEM 644 H/2 DP3T - ON-ON-ON;
1;apm-646h/2;Toggle Switch APEM 646 H/2 DPDT - ON-ON;
1;my-ms500b;Miyama-Toggle Switch MS-500B SP Momentary ON-(ON);
2;my-ms500F;Miyama-Toggle Switch MS500F 2PDT ON-ON;
1;rpo-25k;Miniatur-Potentiometer 25 k laydown PT15;
9;cmpw047;Polypropylene Capacitor, axial, 630V,0.047uF;
1;csm250;Silver Mica 250 pF;
2;csm1000;Silver Mica 1000 pF;
2;cmpw01;Polypropylene Capacitor, axial, 630V, 0.01uF;
2;cmpw0047;Polypropylen Capacitor, axial, 630V, 0.0047uF;
1;cft-22-350;F+T 22 µF @ 350 Volt, axial;
3;cft-22-500;F+T 22 µF @ 500 Volt, axial;
1;cmpw1;Polypropylene Capacitor, axial, 630V, 0.1uF;
2;cft-47-500;F+T 47 µF @ 500 Volt, axial;
2;cmpw22;Polypropylen Capacitor, axial, 630V, 0.22uF;
1;sc-12a;Switchcraft 12a;
4;sc-11;Switchcraft 11;
10;dmu-m25-20;Spacer Bolt M2.5 / 20 mm, inner thread;
1;scr115;Screw lock nut M3, 100 pcs;
1;scr120;Screw lock nut M4, 100 pcs;
1;scr125;Screw lock nut M5, 100 pcs;
20;scr-7045-25-08;Raised Head Screw M2,5 x 8 mm, DIN 7985 / ISO 7045;
4;scr-912-3-10;Socket Head Screw, black M3 x 10;
8;scr-912-5-20;Socket Head Screw, black M5 x 20;
6;scr-912-4-10;Socket Head Screw, black M4 x 10;
1;ha1421J6;Hammond 1421J6, Chassis Screws 6 pcs.;
11;scr-7045-4-10;Raised Head Screw M4 x 10 mm, DIN 7985 / ISO 7045;
2;scr-7045-3-10;Raised Head Screw M3 x 10 mm, DIN 7985 / ISO 7045;
3;ky-906;Terminal Lock Washer Lug M4;
4;hc-HIJ63MA04;HICON J63MA04, Jack plug mono, angled, black;
4;gro-16x;Grommet 16 mm;
1;sh-s;Shield Noval black;
5;re05;Tube-Clip Octal;
1;kit-bias8;Bias-Probe Octal, KIT;
1;men-2664.1001;LED Ø5 mm Metal Holder, silver;
1;kab25;Power Cord 1,8 m black;
1;h05vu-1-5-sw;Hook-up wire, 1 mm² solid, 5 m, black;
1;h05vu-1-5-b;Hook-up wire, 1 mm² solid, 5 m, blue;
1;h05vu-1-5-rd;Hook-up wire, 1 mm² solid, 5 m, red;
2;dra-yv-0.8-sw;Insulated hook-up wire, solid, 0.8 mm black, 3 m;
2;dra-yv-0.8-bl;Insulated hook-up wire, solid, 0.8 mm blue, 3 m;
2;dra-yv-0.8-rt;Insulated hook-up wire, solid, 0.8 mm red, 3 m;
2;dra-yv-0.8-ge;Insulated hook-up wire, solid, 0.8 mm yellow, 3 m;
